	x_umap_data_2	y_umap_data_2	umap_labels_2_spherical-kmeans_4	umap_labels_2_spherical-kmeans_5	umap_labels_2_spherical-kmeans_6	umap_labels_2_spherical-kmeans_7	umap_labels_2_spherical-kmeans_8	label_for_umap	lang	text	script_type	translation	comments
0	2.5557146	2.6453273	1	1	2	2	4	HI	zh	識	Traditional Chinese	Knowledge/Recognize	"Rarely used alone; could be truncated from ""知識"" (knowledge)"
1	4.4871545	2.517368	2	2	5	5	2	HI	zh	攻略	Simplified Chinese	Guide/Strategy	Often implies a step-by-step plan or strategies to maximize efficiency
2	2.3725913	2.3799307	1	1	2	2	4	HI	zh	常	Traditional Chinese/simplified Chinese	Often/Common	"Rarely used alone; likely truncated from either ""常识""/""常識"" (common knowledge) or ""常見""/""常见"" (common)"
3	4.309992	2.6457167	2	2	5	5	2	HI	zh	技巧	Simplified Chinese	Skills/Techniques	None/not applicable
4	2.9416702	2.8197355	1	1	2	2	4	HI	zh	事项	Simplified Chinese	Matters/Items	None/not applicable
5	-0.6951551	6.290328	3	3	3	3	6	HI	zh	驟	Traditional Chinese	Step/Procedure	"Rarely used alone; likely truncated from ""步驟"" (steps), the simplified equivalent of which also appears in top HI keywords"
6	-0.6649495	6.3345065	3	3	3	3	6	HI	zh	步骤	Simplified Chinese	Steps/Procedure	None/not applicable
7	-1.7081645	8.887181	3	3	3	3	6	HI	zh	怎样	Simplified Chinese	How	None/not applicable
8	4.805875	2.1452339	2	2	5	5	2	HI	zh	教學	Traditional Chinese	Instruction	None/not applicable
9	-0.64958024	7.54016	3	3	3	3	6	HI	zh	做法	Simplified Chinese	Method/Practice	None/not applicable
10	3.6681008	2.8997397	2	2	2	2	4	HI	zh	小编	Simplified Chinese	Editor (informal)	None/not applicable
11	2.1557286	2.545638	1	1	2	2	4	HI	zh	準	Traditional Chinese	Preparation (steps)	"Rarely used alone; likely truncated from ""準備"" (preparation)"
12	4.0355372	5.4351497	0	0	0	6	0	HI	zh	材料	Simplified Chinese	Materials/Ingredients	Can refer to ingredients in cooking contexts or materials for projects
13	-1.6910472	8.926044	3	3	3	3	6	HI	zh	如何	Simplified Chinese	How	None/not applicable
14	-1.6056983	8.938729	3	3	3	3	6	HI	zh	怎么	Simplified Chinese	How	None/not applicable
15	-0.71186566	7.666452	3	3	3	3	6	HI	zh	法	Traditional Chinese/simplified Chinese	Method/Way	"Rarely used alone; could be truncated from ""方法"" or  ""做法"" (method)"
16	-0.69973344	7.595131	3	3	3	3	6	HI	zh	方法	Simplified Chinese	Method	None/not applicable
17	4.2090793	2.6641674	2	2	5	5	2	HI	zh	介绍	Simplified Chinese	Introduction	None/not applicable
18	4.8151884	2.2653692	2	2	5	5	2	HI	zh	教程	Simplified Chinese	Tutorial	None/not applicable
19	1.2053736	3.2021453	1	1	1	1	1	HI	zh	即可	Simplified Chinese	That's all you need to do	None/not applicable
20	2.9347205	2.7839472	1	1	2	2	4	HI	zh	事	Traditional Chinese/simplified Chinese	Thing/Matter	"Too general; could be truncated from ""事情"" (matter)"
21	1.4316323	3.648305	1	1	1	1	7	HI	zh	囉	Traditional Chinese	(Emphasis particle, informal)	Taiwan/Hong Kong specific
22	1.4633744	4.247343	1	1	1	1	7	HI	zh	按下	Simplified Chinese	Press/Click	None/not applicable
23	3.2411163	2.9448967	1	1	2	2	4	HI	zh	篇	Simplified Chinese	Article/Chapter	Measure word
24	2.5092824	2.85222	1	1	2	2	4	HI	zh	具體	Traditional Chinese	Specific/Concrete	None/not applicable
25	4.6039124	1.9793668	2	2	5	5	2	HI	zh	教	Traditional Chinese/simplified Chinese	Teach	None/not applicable
26	7.263427	5.042522	0	4	4	4	5	HI	ur	recipe	Latin	None/not applicable	None/not applicable
27	4.072184	5.499989	0	0	0	6	0	HI	ur	ingredients	Latin	None/not applicable	None/not applicable
28	2.2882278	4.0210085	1	1	2	2	7	HI	ur	urdu	Latin	None/not applicable	None/not applicable
29	3.1990447	4.960502	1	0	0	0	0	HI	ur	250گرام	Mixed	250 grams	None/not applicable
30	-1.5365274	8.791954	3	3	3	3	6	HI	ur	کیسے	Urdu	how	None/not applicable
31	-0.88780284	7.847274	3	3	3	3	6	HI	ur	طریقہ	Urdu	method/way	None/not applicable
32	3.5442355	5.130805	1	0	0	6	0	HI	ur	وٹامن	Urdu	vitamin	None/not applicable
33	5.5389585	2.3257008	2	2	5	5	2	HI	ur	instructions	Latin	None/not applicable	None/not applicable
34	6.721108	6.6597905	0	4	4	4	5	HI	ur	تیاری	Urdu	preparation	None/not applicable
35	3.537062	5.1744432	1	0	0	6	0	HI	ur	فائل	Urdu	file	None/not applicable
36	1.6558206	4.425752	1	1	1	1	7	HI	ur	دبائیں	Urdu	press	Verb, imperative
37	2.8168142	3.2286952	1	1	2	2	4	HI	ur	نوٹ	Urdu	note (remark)	English word in Urdu script
38	2.8417292	5.6401453	1	0	0	0	3	HI	ur	زعفران	Urdu	saffron	None/not applicable
