	x_umap_data_2	y_umap_data_2	umap_labels_2_spherical-kmeans_4	umap_labels_2_spherical-kmeans_5	umap_labels_2_spherical-kmeans_6	umap_labels_2_spherical-kmeans_7	umap_labels_2_spherical-kmeans_8	label_for_umap	lang	text	script_type	translation	comments
0	4.056073	11.742857	1	1	5	6	1	ID	zh	帖	Simplified Chinese	Post (in a forum)	None/not applicable
1	12.240889	7.2082405	0	0	0	0	0	ID	zh	主題	Traditional Chinese	Topic	None/not applicable
2	3.9883404	11.798784	1	1	5	6	1	ID	zh	帖子	Simplified Chinese	Post (in a forum)	"Overlaps with keyword ""贴"" also in top ID keywords"
3	5.4572654	7.8774347	1	1	1	1	6	ID	zh	論區	Traditional Chinese	Discussion area	None/not applicable
4	4.770012	7.95313	1	1	1	5	6	ID	zh	討	Traditional Chinese	Discuss	"Rarely used alone; likely truncated from ""討論"" (discussion) or ""討論區"" (discussion area)"
5	1.8358705	-10.660946	2	2	2	2	2	ID	zh	提问	Simplified Chinese	Ask a question	None/not applicable
6	5.6556745	7.8439484	1	1	1	1	6	ID	zh	论坛	Simplified Chinese	Forum	None/not applicable
7	1.8554759	-10.533586	2	2	2	2	2	ID	zh	請問	Traditional Chinese	May I ask	None/not applicable
8	-3.368293	-3.218195	2	4	4	4	4	ID	zh	答案	Simplified Chinese	Answer	None/not applicable
9	14.075283	13.272085	3	3	3	3	3	ID	zh	謝謝	Traditional Chinese	Thank you	"See comment for ""謝"" in top HI keywords"
10	14.155308	13.060737	3	3	3	3	3	ID	zh	謝	Traditional Chinese	Thanks	"Informal abbreviation, duplicate of the traditional ""謝謝"" also in top ID keywords"
11	14.003811	13.18725	3	3	3	3	3	ID	zh	谢	Simplified Chinese	Thanks	"Informal abbreviation, duplicate of the simplified ""谢谢"" also in top ID keywords"
12	4.8839297	7.856119	1	1	1	5	6	ID	zh	討論	Traditional Chinese	Discussion	None/not applicable
13	-3.3245993	-3.0513327	2	4	4	4	4	ID	zh	回答	Simplified Chinese	Reply/Answer	None/not applicable
14	-3.4146037	-3.0302231	2	4	4	4	4	ID	zh	回覆	Traditional Chinese	Reply	None/not applicable
15	14.042116	13.188264	3	3	3	3	3	ID	zh	谢谢	Simplified Chinese	Thank you	"See comment for ""谢"" in top ID keywords"
16	9.92834	9.351477	0	0	0	0	0	ID	zh	pm	Latin	None/not applicable	Not Chinese; likely from English Private message (PM)
17	-3.4094696	-3.280102	2	4	4	4	4	ID	zh	解答	Simplified Chinese	Solution/Answer	None/not applicable
18	12.532024	13.181645	3	3	3	3	7	ID	zh	哈哈	Simplified Chinese	Haha (laughing)	This word is idenfied as a key Interactive Discussion register marker might be because it exclusively appears in conversational contexts (never in formal materials) and often serves as a way for someone to acknowledge or maintain interaction without necessarily expressing agreement with what's being said.
19	12.0367985	7.1455183	0	0	0	0	0	ID	zh	頂部	Traditional Chinese	Top	None/not applicable
20	4.174351	11.671558	1	1	5	6	1	ID	zh	發表	Traditional Chinese	Publish/Post	None/not applicable
21	2.1880329	-10.887406	2	2	2	2	2	ID	zh	问题	Simplified Chinese	Question	None/not applicable
22	1.8573847	-10.533384	2	2	2	2	2	ID	zh	请问	Simplified Chinese	May I ask	None/not applicable
23	1.769086	-10.602196	2	2	2	2	2	ID	zh	问	Simplified Chinese	Ask	Rarely used alone
24	1.7947502	-10.685817	2	2	2	2	2	ID	zh	問	Traditional Chinese	Ask	"Traditional equivalent of ""问"" also in top ID keywords"
25	12.278783	7.2803617	0	0	0	0	0	ID	zh	題	Traditional Chinese	Topic/Issue	"Rarely used alone; likely truncated from ""問題"" (question), the simplified version of which also appears in the keywords (see ""问题"")"
26	1.940614	-10.829363	2	2	2	2	2	ID	ur	سوال	Urdu	question	None/not applicable
27	12.437982	7.3376513	0	0	0	0	0	ID	ur	موضوع	Urdu	topic	None/not applicable
28	-3.3432124	-3.1121082	2	4	4	4	4	ID	ur	الجواب	Urdu	answer (noun)	This (ul-jawab) is likely part of the expression jawab-ul-jawab which means reply to an answer (jawab means answer).
