	x_umap_data_2	y_umap_data_2	umap_labels_2_spherical-kmeans_4	umap_labels_2_spherical-kmeans_5	umap_labels_2_spherical-kmeans_6	umap_labels_2_spherical-kmeans_7	umap_labels_2_spherical-kmeans_8	label_for_umap	lang	text	script_type	translation	comments
0	8.23315	9.809285	0	0	5	5	5	NA	zh	徐偉告	Traditional Chinese	Xu Wei reports (name-specific)	Seems like a fragment; appears to be a person's name + partial verb
1	8.291483	9.563406	0	0	5	5	5	NA	zh	訊	Traditional Chinese	Information/News	"Vague alone; usually part of compound words (e.g. ""通訊"")"
2	8.256299	9.735764	0	0	5	5	5	NA	zh	小说	Simplified Chinese	Novel	Appears also in MT keywords
3	8.4758625	10.191087	0	0	5	5	5	NA	zh	訴	Traditional Chinese	Tell/Complain	"Rarely used alone; likely truncated from ""控訴"" (accusation)"
4	8.395839	10.160062	0	0	5	5	5	NA	zh	紹說	Traditional Chinese	Introduction (context needed)	"Likely a fragment from ""介紹說"""
5	7.7101345	11.41612	0	0	5	5	5	NA	zh	記者	Traditional Chinese	Reporter	None/not applicable
6	8.343587	9.661012	0	0	5	5	5	NA	zh	章	Traditional Chinese/simplified Chinese	Chapter/Article	"Rarely used alone; could be truncated from ""文章"" (article)"
7	10.8195915	15.934278	3	2	3	3	7	NA	zh	圖	Traditional Chinese	Picture/Diagram	None/not applicable
8	3.0987024	7.3144307	2	4	4	6	1	NA	zh	昨日	Traditional Chinese	Yesterday	None/not applicable
9	3.031225	7.246648	2	4	4	6	1	NA	zh	近日	Simplified Chinese	Recently	None/not applicable
10	7.780958	11.223656	0	0	5	5	5	NA	zh	记者	Simplified Chinese	Reporter	None/not applicable
11	8.250171	10.4561405	0	0	5	5	5	NA	zh	聞	Traditional Chinese	News/Hear	"Rarely used alone; likely truncated from ""新聞"" (news)"
12	3.2548795	7.4702067	2	4	4	6	1	NA	zh	上午	Simplified Chinese	Morning	None/not applicable
13	9.597311	10.794075	0	0	0	0	0	NA	zh	指出	Simplified Chinese	Point out	None/not applicable
14	3.1528413	7.369218	2	4	4	6	1	NA	zh	昨天	Simplified Chinese	Yesterday	None/not applicable
15	8.174343	10.595511	0	0	5	5	5	NA	zh	采訪	Traditional Chinese	Interview	None/not applicable
16	10.873169	15.989485	3	2	3	3	7	NA	zh	图	Simplified Chinese	Picture/Diagram	"Simplified equivalent of ""圖"" also in top NA keywords"
17	9.470332	10.709237	0	0	5	5	0	NA	zh	表示	Simplified Chinese	Indicate/State	None/not applicable
18	2.929525	7.1436143	2	4	4	6	1	NA	zh	今日	Traditional Chinese	Today	None/not applicable
19	8.806243	10.053835	0	0	5	5	5	NA	zh	来源	Simplified Chinese	Source	None/not applicable
20	2.9884605	7.203974	2	4	4	6	1	NA	zh	日前	Traditional Chinese/simplified Chinese	A few days ago	None/not applicable
21	7.879103	10.575946	0	0	5	5	5	NA	zh	報導	Traditional Chinese	Report	None/not applicable
22	8.754025	10.00653	0	0	5	5	5	NA	zh	稱	Traditional Chinese	Call/State	None/not applicable
23	3.2254257	7.440184	2	4	4	6	1	NA	zh	下午	Simplified Chinese	Afternoon	None/not applicable
24	9.453562	10.631372	0	0	5	5	0	NA	zh	透露	Simplified Chinese	Reveal	None/not applicable
25	7.274942	13.610388	3	2	2	2	2	NA	zh	警方	Simplified Chinese	Police	None/not applicable
26	9.521638	11.610971	0	0	5	5	3	NA	ur	پوائنٹ	Urdu	point	English word in Urdu script
27	10.067894	10.91583	0	0	0	0	0	NA	ur	تفصیلات	Urdu	details	None/not applicable
