	x_umap_data_2	y_umap_data_2	umap_labels_2_spherical-kmeans_4	umap_labels_2_spherical-kmeans_5	umap_labels_2_spherical-kmeans_6	umap_labels_2_spherical-kmeans_7	umap_labels_2_spherical-kmeans_8	label_for_umap	lang	text	script_type	translation	comments
0	7.17693	8.046784	1	1	5	5	4	OP	zh	评	Simplified Chinese	Review/Evaluation	"Rarely used alone; likely truncated from ""评论"" (comment/review) or ""评价"" (evaluation/assessment), both of which are also top OP keywords"
1	6.3973684	8.203748	1	1	5	5	4	OP	zh	评论	Simplified Chinese	Comment/Review	None/not applicable
2	7.40888	8.029211	1	1	5	5	4	OP	zh	评价	Simplified Chinese	Evaluation/Assessment	None/not applicable
3	12.101953	3.298579	0	4	4	4	7	OP	zh	上帝	Simplified Chinese	God	None/not applicable
4	12.031263	8.628676	2	2	2	2	2	OP	zh	文章	Simplified Chinese	Article	None/not applicable
5	11.80765	8.448545	2	2	2	2	2	OP	zh	读	Simplified Chinese	Read	None/not applicable
6	8.979514	6.3128223	3	0	1	1	1	OP	zh	相比	Simplified Chinese	Compare/Compared to	None/not applicable
7	12.105827	8.427292	2	2	2	2	2	OP	zh	作者	Simplified Chinese	Author	None/not applicable
8	10.8359165	4.0345273	0	4	0	0	5	OP	zh	感受	Simplified Chinese	Feeling/Experience	None/not applicable
9	12.260449	8.80873	2	2	2	2	2	OP	zh	篇	Simplified Chinese	Piece/Article (measure word)	None/not applicable
10	12.047082	7.9241395	2	2	2	2	2	OP	zh	書	Traditional Chinese	Book	None/not applicable
11	9.126761	6.8439345	3	0	1	1	1	OP	zh	推荐	Simplified Chinese	Recommend/Recommendation	None/not applicable
12	12.338166	8.653041	2	2	2	2	2	OP	zh	個人	Traditional Chinese	Personal/Individual	None/not applicable
13	10.445411	4.139904	0	4	0	0	5	OP	zh	失望	Simplified Chinese	Disappointed/Disappointment	None/not applicable
14	9.3453865	6.7918363	3	0	1	1	1	OP	zh	介紹	Traditional Chinese	Introduction	None/not applicable
