	x_umap_data_2	y_umap_data_2	umap_labels_2_spherical-kmeans_4	umap_labels_2_spherical-kmeans_5	umap_labels_2_spherical-kmeans_6	umap_labels_2_spherical-kmeans_7	umap_labels_2_spherical-kmeans_8	label_for_umap	lang	text	script_type	translation	comments
0	4.925757	10.126792	1	4	4	4	4	SP	zh	專訪	Traditional Chinese	Exclusive interview	None/not applicable
1	5.0063066	10.047192	1	4	4	4	4	SP	zh	专访	Simplified Chinese	Interview	"Simplified equivalent of ""專訪"" (Exclusive interview)"
2	4.9963374	10.227492	1	4	4	4	4	SP	zh	采访	Simplified Chinese	Interview/Reporting	None/not applicable
3	4.893336	10.171913	1	4	4	4	4	SP	zh	访谈	Simplified Chinese	Talk/Interview	None/not applicable
4	7.090739	2.2011135	0	0	0	0	0	SP	zh	主持人	Simplified Chinese	Host/Presenter	None/not applicable
5	7.0702105	2.0596306	0	0	0	0	0	SP	zh	记者	Simplified Chinese	Journalist/Reporter	None/not applicable
6	2.906657	5.348336	1	1	1	1	1	SP	zh	看待	Simplified Chinese	View/Perceive	None/not applicable
7	4.883654	6.0331655	1	1	1	1	1	SP	zh	介绍	Simplified Chinese	Introduce/Introduction	None/not applicable
8	0.286879	-2.3092391	2	2	2	2	2	SP	zh	問	Traditional Chinese	Ask	None/not applicable
9	0.18553643	-2.2895563	2	2	2	2	2	SP	zh	问	Simplified Chinese	Ask	"Simplified equivalent of ""問"" (Ask)"
10	2.4041097	3.2221522	0	1	5	5	5	SP	zh	哪些	Simplified Chinese	Which ones	None/not applicable
11	0.13786098	-1.5774584	2	2	2	2	2	SP	zh	q	Latin	None/not applicable	"Not Chinese; likely abbreviation of English ""question"""
12	3.1185412	5.2807317	1	1	1	1	1	SP	zh	觉得	Simplified Chinese	Feel/Think	None/not applicable
13	2.4893508	2.8784359	0	1	5	5	5	SP	zh	如何	Simplified Chinese	How	None/not applicable
14	2.9055798	5.4177585	1	1	1	1	1	SP	zh	认为	Simplified Chinese	Consider/Believe	None/not applicable
15	3.1745596	5.2352257	1	1	1	1	1	SP	zh	覺	Traditional Chinese	Feel/Sense	"Rarely used alone; could be truncated from ""覺得"" (feel), the simplified equivalent of which is also in top SP keywords (see ""觉得"")"
16	2.5511162	3.6094108	0	1	5	5	5	SP	zh	以下	Simplified Chinese	Below/The following	None/not applicable
