preds	count	median	std
['AV']	1	448.0	
['DS']	103	250.0	649.3203485923843
['DTP']	35	441.0	357.5081476417735
['HI', 'IN']	68	594.0	3061.5054144954706
['HI', 'NB']	4	605.5	293.49446332086063
['HI', 'RE']	7612	326.0	549.4766673203969
['HI']	14132	428.0	770.1894347123151
['ID', 'HI']	6	397.0	450.26321931362173
['ID', 'IN']	1	1230.0	
['ID']	37097	276.0	1496.0054576489126
['IN', 'DS']	5	249.0	70.02499553730796
['IN', 'DTP']	49602	257.0	1128.2659241021638
['IN', 'EN']	7100	368.0	2539.467912421929
['IN', 'FI']	11	622.0	372.74900158393206
['IN', 'IP', 'DS']	134	343.0	300.12165079244113
['IN', 'IP', 'DTP']	2	290.5	19.091883092036785
['IN', 'IP']	346	340.0	421.7586588995016
['IN', 'LT']	3228	721.5	2803.2982066064424
['IN', 'NE']	70	363.5	354.9980188321355
['IN', 'OP', 'RV']	4	1154.0	938.1622105656
['IN', 'OP']	22	1066.0	2010.6532116857788
['IN', 'RA']	9646	328.0	1986.6333864108021
['IN']	157643	346.0	2123.6259965960708
['IP', 'DS']	65370	243.0	754.0409809152078
['IP', 'DTP']	1	344.0	
['IP', 'RV', 'DS']	11	722.0	503.8587825246998
['IP', 'RV']	1	335.0	
['IP']	41792	243.0	581.0688103986787
['LY']	3226	263.0	857.4704354897933
['MT', 'DS']	2	1082.5	581.9488809165287
['MT', 'HI']	1	580.0	
['MT', 'IN']	2	2025.0	1637.659305228044
['MT', 'IP', 'DS']	78	352.0	446.7698358369623
['MT', 'IP', 'RV', 'DS']	2	473.0	138.59292911256333
['MT', 'IP']	10	350.5	601.6950131826662
['MT', 'OP', 'RV']	22	694.5	1714.1554159536672
['MT', 'OP']	9	956.0	510.02510831439577
['MT', 'RV']	1	1298.0	
['MT']	13299	552.0	1261.8885831169937
['NA', 'DTP']	4	555.5	508.343305913107
['NA', 'HI', 'NB', 'RE']	2	763.0	305.47012947258855
['NA', 'HI', 'NB']	7	603.0	291.0079363997124
['NA', 'HI', 'RE']	2	414.0	229.1025971044414
['NA', 'HI']	4	429.0	243.62265904467915
['NA', 'IN', 'DTP']	49	572.0	1112.5636169993825
['NA', 'IN', 'NE']	13	445.0	836.0968383368777
['NA', 'IN']	386	542.5	2724.9305826578693
['NA', 'IP', 'NB']	1	791.0	
['NA', 'IP']	1	203.0	
['NA', 'NB']	37782	383.0	1376.772597205465
['NA', 'NE']	136095	346.0	902.500099509163
['NA', 'OB']	1	1000.0	
['NA', 'OP', 'NB', 'RV']	1	437.0	
['NA', 'OP', 'NB']	33	609.0	2028.2587000101016
['NA', 'OP', 'OB']	4	634.5	237.60383694993928
['NA', 'OP', 'RV']	1	2927.0	
['NA', 'OP']	218	661.5	1652.2744043620162
['NA', 'SR']	30086	426.0	1071.1400799935882
['NA']	42920	466.0	1787.4223884481187
['NB']	114	331.5	529.6114073728378
['NE']	3786	278.5	861.9027075311701
['OB']	158	529.5	3536.050360144771
['OP', 'AV']	52	748.0	5020.96465327099
['OP', 'DS']	1	339.0	
['OP', 'IP', 'DS']	5	520.0	551.886491952829
['OP', 'IP', 'RV', 'DS']	24	667.5	663.8984215453708
['OP', 'IP', 'RV']	9	948.0	631.3618217789226
['OP', 'IP']	3	692.0	713.1937558148791
['OP', 'NB']	5	443.0	314.0854979141826
['OP', 'OB']	8001	625.0	2488.2050054177394
['OP', 'RS']	5808	591.0	2887.900879377756
['OP', 'RV', 'DS']	4	498.5	369.3475102573907
['OP', 'RV']	23719	510.0	1192.694185452469
['OP']	32610	590.0	1649.6186499695023
['RS']	1	2953.0	
['RV', 'DS']	1	322.0	
['RV']	167	255.0	714.2945187219543
['SP', 'IT']	1848	906.5	1420.7097075020006
['SP', 'NA', 'IT']	1	1004.0	
['SP', 'NA', 'SR']	9	885.0	437.54828304999666
['SP', 'NA']	11	751.0	665.6504815865183
['SP']	1539	898.0	1815.671151901331
['SR']	60	500.5	775.4661728990727
[]	263755	365.0	1291.90275125293
