preds	count	median	std
['AV']	496	489.5	506.16004385240495
['DS']	130	166.5	725.2306856073119
['DTP']	100	165.0	683.6415562074451
['FI']	1	265.0	
['HI', 'DS']	1	137.0	
['HI', 'DTP']	1	218.0	
['HI', 'IN', 'DTP']	6	262.5	502.2236221711068
['HI', 'IN']	476	369.5	1582.9893323736178
['HI', 'IP', 'DS']	19	298.0	130.03218225136666
['HI', 'IP']	42	243.0	218.1892006810703
['HI', 'NB', 'RE']	68	321.0	278.67153616013104
['HI', 'NB']	8	405.5	507.8936896634964
['HI', 'RE']	19657	203.0	533.5660321371809
['HI']	20819	265.0	1060.8418871573401
['ID', 'HI']	11	338.0	358.1968732415179
['ID', 'NA']	3	793.0	5108.57811267806
['ID']	32573	318.0	1344.3934929814634
['IN', 'DS']	16	245.5	117.15566567605683
['IN', 'DTP']	15594	173.0	947.1933833837013
['IN', 'EN']	30200	226.0	822.4514298446547
['IN', 'FI']	89	283.0	540.0387200963172
['IN', 'IP', 'DS']	90	253.5	240.6743825731486
['IN', 'IP', 'DTP']	13	291.0	638.0414643707808
['IN', 'IP', 'LT', 'DS']	43	407.0	209.630910158567
['IN', 'IP', 'LT']	4	454.0	226.41168256077248
['IN', 'IP']	89	286.0	477.23932554942303
['IN', 'LT', 'DS']	5	250.0	90.88289167934744
['IN', 'LT']	7472	511.0	2433.0425794213647
['IN', 'OP']	1	170.0	
['IN', 'RA']	3406	401.0	2902.6036633694157
['IN', 'RV']	8	399.0	1095.4847508229927
['IN']	60241	279.0	2537.4600178900873
['IP', 'DS']	156130	150.0	794.7999487841801
['IP', 'DTP']	5	232.0	440.30580282344675
['IP', 'LT', 'DS']	1	698.0	
['IP', 'NB', 'DS']	4	160.0	97.07213812418061
['IP', 'NB']	17	262.0	371.8165660961456
['IP', 'NE']	15	120.0	99.6257281744315
['IP', 'RV', 'DS']	90	310.5	274.8740873929369
['IP', 'RV']	34	399.5	1037.2529901606204
['IP']	31579	156.0	879.7123459973624
['LY', 'NA']	4	227.5	186.65721702271966
['LY']	1219	193.0	1326.608194563903
['MT', 'DS']	61	240.0	946.5555679247778
['MT', 'HI']	7	469.0	269.5953758258229
['MT', 'IN', 'FI']	30	186.0	24.931838113627684
['MT', 'IN']	13	3986.0	2904.239405703501
['MT', 'IP', 'DS']	871	262.0	260.125726666053
['MT', 'IP', 'RV', 'DS']	9	399.0	261.55018638876936
['MT', 'IP', 'RV']	6	716.5	49.350447481929365
['MT', 'IP']	56	211.0	248.7571052303781
['MT', 'OP', 'RV']	1169	217.0	286.03306047373366
['MT', 'OP']	19	487.0	487.53099766497974
['MT', 'RV']	77	435.0	377.4269852390034
['MT']	37719	342.0	1130.996391756642
['NA', 'DTP']	3	257.0	704.07693708382
['NA', 'HI', 'NB', 'RE']	1581	346.0	911.058792354634
['NA', 'HI', 'NB']	566	330.0	723.7507028467502
['NA', 'HI', 'RE']	268	295.5	999.1182660884634
['NA', 'HI']	132	287.5	426.73065372990845
['NA', 'IN', 'DTP']	31	382.0	701.7829290955234
['NA', 'IN', 'NB']	2	354.0	73.53910524340094
['NA', 'IN']	156	372.5	1217.8868892046623
['NA', 'IP', 'DS']	14	267.5	426.25041007359994
['NA', 'IP', 'NB', 'DS']	7	208.0	80.08001950430284
['NA', 'IP', 'NB']	427	206.0	483.3770926918925
['NA', 'IP', 'NE']	165	182.0	170.14674072011854
['NA', 'IP']	1200	214.0	521.4601938570706
['NA', 'NB', 'RE']	6	628.0	481.56858286229595
['NA', 'NB', 'RV']	131	400.0	1042.2863907659003
['NA', 'NB']	209171	271.0	1016.4429280024254
['NA', 'NE']	118709	212.0	566.1281216119534
['NA', 'OP', 'NB', 'RV']	1684	425.5	1180.1595289750003
['NA', 'OP', 'NB']	453	449.0	1143.084349273152
['NA', 'OP', 'RS']	1	932.0	
['NA', 'OP', 'RV']	662	411.5	983.4713397130329
['NA', 'OP']	229	508.0	1092.7622471402433
['NA', 'RV']	33	362.0	293.85193589165397
['NA', 'SR', 'NB']	1	98.0	
['NA', 'SR']	21397	234.0	665.1278263005744
['NA']	56174	315.0	1281.3633693578736
['NB', 'RV']	2	217.0	206.47518010647187
['NB']	145	192.0	380.49316128603476
['NE']	154	127.5	329.3260835373084
['OB']	13	375.0	1158.364253415023
['OP', 'AV']	520	497.5	541.4412881930053
['OP', 'IP', 'DS']	31	594.0	374.1915155673371
['OP', 'IP', 'RV', 'DS']	155	280.0	332.13427486423234
['OP', 'IP', 'RV']	108	388.0	362.5986955795603
['OP', 'IP']	47	345.0	965.0634116622284
['OP', 'NB', 'RV']	38	388.5	1300.8864151605858
['OP', 'NB']	13	572.0	2991.275495460689
['OP', 'OB']	11599	409.0	1700.6924460520497
['OP', 'RS']	5599	456.0	2494.4600845986333
['OP', 'RV', 'DS']	10	270.0	416.0684238599864
['OP', 'RV']	23187	360.0	957.2987269196648
['OP']	13661	427.0	1564.1894931007896
['RS']	48	262.5	1603.3227265632408
['RV', 'DS']	4	168.0	103.86008216185209
['RV']	472	315.5	628.2355433312782
['SP', 'IT']	1549	481.0	949.4273930965328
['SP', 'NA', 'IT']	15	415.0	258.0527816072481
['SP', 'NA', 'SR']	12	507.5	201.61213888418166
['SP', 'NA']	92	424.5	586.4998113102724
['SP']	754	443.0	1898.361142871349
['SR']	5	315.0	119.8386415143296
[]	107747	280.0	1627.4022206948266
