preds	count	median	std
['AV']	2429	600.0	759.0367890415196
['DS']	11	297.0	547.6507679501268
['DTP']	932	251.5	626.1867108756246
['HI', 'AV']	4	650.0	812.9421361121999
['HI', 'DTP']	14	295.5	239.68014400148257
['HI', 'IN', 'DTP']	121	449.0	1370.8344184309133
['HI', 'IN', 'FI']	1	481.0	
['HI', 'IN']	1076	509.5	983.4158667615434
['HI', 'IP', 'DS']	16	347.0	299.2011516800473
['HI', 'IP']	126	327.0	434.53341691140196
['HI', 'NB', 'RE']	268	464.0	875.8994522585151
['HI', 'NB']	39	397.0	231.74097585890541
['HI', 'OP', 'RV']	2	415.5	299.10616844190963
['HI', 'RE']	15425	257.0	507.3555656561053
['HI']	19539	412.0	870.2527756850972
['ID', 'HI']	37	470.0	559.61755763272
['ID', 'IN']	4	412.5	2444.298996304121
['ID', 'IP']	3	206.0	92.00181157636699
['ID', 'NA']	9	1092.0	3828.791272857677
['ID', 'OP', 'RV']	2	557.5	262.33661582020915
['ID', 'OP']	7	897.0	727.4505383284046
['ID']	32063	262.0	1133.8097562246533
['IN', 'DTP', 'RV']	1	582.0	
['IN', 'DTP']	48909	268.0	953.6765900877979
['IN', 'EN']	14175	420.0	1848.9921236434368
['IN', 'FI']	151	544.0	589.3322958048262
['IN', 'IP', 'DS']	183	300.0	250.94474969456408
['IN', 'IP', 'DTP']	529	335.0	451.69502581421654
['IN', 'IP', 'LT', 'DS']	41	392.0	275.54082960695285
['IN', 'IP', 'LT']	56	356.0	195.62913495069807
['IN', 'IP']	895	338.0	645.945045375172
['IN', 'LT']	8642	544.0	3005.1458976967706
['IN', 'NB']	1	2446.0	
['IN', 'NE']	2	105.0	33.94112549695428
['IN', 'OP', 'RS']	2	557.5	12.020815280171307
['IN', 'OP', 'RV']	7	1139.0	699.82109958801
['IN', 'OP']	14	618.0	334.4689739056442
['IN', 'RA']	2455	413.0	2120.455736850225
['IN', 'RV']	8	426.0	654.6139538471729
['IN']	66732	349.0	2566.024540989029
['IP', 'AV', 'DS']	4	334.5	168.5516735801418
['IP', 'AV']	77	547.0	580.1233322804607
['IP', 'DS']	212580	235.0	933.5798875470938
['IP', 'DTP', 'DS']	1	280.0	
['IP', 'DTP']	314	295.0	589.863244592316
['IP', 'FI']	1	281.0	
['IP', 'LT', 'DS']	1	1365.0	
['IP', 'NB', 'DS']	8	276.0	187.08396701557757
['IP', 'NB']	186	236.0	439.0868743558826
['IP', 'NE']	3	141.0	19.655363983740756
['IP', 'RV', 'DS']	140	332.5	522.8469466780555
['IP', 'RV']	102	333.5	1146.2493117817958
['IP']	82446	238.0	1022.4871349994365
['LT']	1	215.0	
['LY', 'NA']	21	275.0	433.9029406500512
['LY']	2961	252.0	809.4692801773322
['MT', 'DS']	5	243.0	1261.5069559855785
['MT', 'HI']	1	1489.0	
['MT', 'IN', 'FI']	4	282.0	30.44667469527666
['MT', 'IN']	4	388.5	497.2903243243997
['MT', 'IP', 'DS']	337	308.0	906.0833156314944
['MT', 'IP', 'RV', 'DS']	3	376.0	331.4050894801305
['MT', 'IP', 'RV']	1	718.0	
['MT', 'IP']	46	424.0	1880.9678011816482
['MT', 'OP', 'IP', 'RV', 'DS']	3	366.0	504.4888502236695
['MT', 'OP', 'IP', 'RV']	1	684.0	
['MT', 'OP', 'RV']	179	235.0	291.2761568909465
['MT', 'OP']	9	466.0	1071.075277466528
['MT', 'RV']	5	500.0	334.0258971996034
['MT']	17067	730.0	1080.7079308781526
['NA', 'AV']	3	966.0	900.361594027644
['NA', 'DTP']	112	514.0	601.4747018155184
