preds	count	median	std
['AV']	2405	469.0	764.7101315042518
['DS']	15	212.0	2843.996328106932
['DTP']	160	210.5	506.36439754918183
['EN']	1	658.0	
['HI', 'AV']	6	879.0	630.6746916332276
['HI', 'DS']	2	306.5	92.63098833543772
['HI', 'DTP']	1	127.0	
['HI', 'IN', 'DTP']	140	423.0	955.0935469645044
['HI', 'IN', 'FI']	1	4464.0	
['HI', 'IN']	2649	410.0	1151.2693849224618
['HI', 'IP', 'DS']	35	241.0	229.6480939586121
['HI', 'IP']	142	286.0	331.95713842915114
['HI', 'NB', 'RE']	484	324.5	646.7676349049658
['HI', 'NB']	45	386.0	885.6612224830109
['HI', 'OP', 'RV']	1	147.0	
['HI', 'RE']	13817	218.0	540.0123405902708
['HI']	16288	341.0	948.700730027845
['ID', 'HI']	5	283.0	103.94084856301686
['ID', 'IN']	1	577.0	
['ID', 'IP']	3	224.0	74.09678355592321
['ID', 'NA']	1	1422.0	
['ID', 'OP']	2	3831.5	4241.933580338098
['ID']	14167	234.0	1101.8960538531785
['IN', 'AV']	2	438.5	164.75588001646557
['IN', 'DS']	5	210.0	525.1712101781666
['IN', 'DTP']	26263	228.0	901.305893793656
['IN', 'EN', 'DTP']	1	461.0	
['IN', 'EN']	15606	249.0	1102.0861923687573
['IN', 'FI']	603	475.0	749.5716825588424
['IN', 'IP', 'DS']	221	274.0	261.1719157968315
['IN', 'IP', 'DTP']	276	274.5	282.2887129701712
['IN', 'IP', 'FI', 'DS']	1	284.0	
['IN', 'IP', 'FI']	2	227.0	50.91168824543142
['IN', 'IP', 'LT', 'DS']	58	284.5	212.67827794407188
['IN', 'IP', 'LT']	17	297.0	527.9930787202334
['IN', 'IP']	1252	327.5	805.5259423670237
['IN', 'LT', 'DS']	2	224.0	59.39696961966999
['IN', 'LT']	6150	627.5	3441.580757953786
['IN', 'NB']	8	180.5	835.6014087384691
['IN', 'NE']	1	392.0	
['IN', 'OP', 'RV']	3	426.0	604.1729884726725
['IN', 'OP']	12	847.5	865.0222759436823
['IN', 'RA']	2935	371.0	3212.051930435121
['IN', 'RS']	1	371.0	
['IN', 'RV']	5	525.0	494.7481177326499
['IN']	67401	380.0	2570.416387585845
['IP', 'AV', 'DS']	12	315.5	148.99471212906934
['IP', 'AV']	107	494.0	829.562964165303
['IP', 'DS']	171008	200.0	678.7012894647983
['IP', 'DTP']	52	307.5	203.5796720717583
['IP', 'NB', 'DS']	30	304.0	655.5758905541463
['IP', 'NB']	241	212.0	810.3536420006604
['IP', 'NE']	3	256.0	97.24710792614863
['IP', 'RV', 'DS']	296	312.5	238.38662877795628
['IP', 'RV']	67	272.0	1214.2098600946094
['IP']	49351	213.0	1175.947070080612
['IT']	4	303.0	120.83976994350824
['LY', 'NA']	13	225.0	193.48365067085922
['LY']	946	249.5	1200.994637208481
['MT', 'DS']	63	234.0	217.58854334166676
['MT', 'HI']	48	401.5	346.58171119587513
['MT', 'IN', 'FI']	28	152.5	311.84913595821234
['MT', 'IN', 'IP']	1	421.0	
['MT', 'IN']	80	430.0	3066.865829342698
