preds	count	median	std
['AV']	10	712.0	344.21254738573634
['DS']	76	375.0	1028.867159259887
['DTP']	9	196.0	140.64049914587193
['HI', 'AV']	1	2382.0	
['HI', 'DTP']	1	460.0	
['HI', 'IN', 'DTP']	62	502.5	769.2731817671437
['HI', 'IN']	3535	493.0	1326.1133111695638
['HI', 'IP', 'DS']	2	397.0	224.8599564173221
['HI', 'IP']	18	368.0	142.63619795591953
['HI', 'NB', 'RE']	50	550.5	844.9821456874769
['HI', 'NB']	10	586.5	266.33856899317703
['HI', 'OP', 'AV']	3	828.0	367.10534364584413
['HI', 'OP', 'RE']	1	765.0	
['HI', 'OP', 'RV']	1	762.0	
['HI', 'OP']	29	533.0	652.0349200355859
['HI', 'RE']	8944	331.5	549.8426649046357
['HI', 'RV']	1	496.0	
['HI']	17564	436.0	762.8961090719874
['ID', 'HI', 'RE']	1	978.0	
['ID', 'HI']	75	308.0	828.6831403057666
['ID', 'IN']	146	313.5	4783.122049581252
['ID', 'NA', 'NB']	3	384.0	1131.1464685589278
['ID', 'NA']	71	365.0	1291.5826963727163
['ID', 'OP', 'OB']	1	1699.0	
['ID', 'OP', 'RV']	5	673.0	830.7727125995413
['ID', 'OP']	74	461.5	804.2362667698195
['ID']	41071	276.0	1487.015696632717
['IN', 'DS']	31	242.0	155.78525334989288
['IN', 'DTP', 'DS']	5	218.0	396.91271080679695
['IN', 'DTP', 'RV']	1	427.0	
['IN', 'DTP']	94963	258.0	1256.3921706753351
['IN', 'EN', 'DTP']	24	485.5	325.8499004276289
['IN', 'EN']	9543	338.0	2771.989150695289
['IN', 'FI']	216	557.5	553.5773285828551
['IN', 'IP', 'DS']	5107	266.0	529.8543008739371
['IN', 'IP', 'DTP', 'DS']	149	288.0	494.0967882234987
['IN', 'IP', 'DTP']	1690	320.0	528.9119430491786
['IN', 'IP', 'LT', 'DS']	3	347.0	231.53689410833283
['IN', 'IP', 'LT']	3	411.0	1501.2719051968345
['IN', 'IP']	9735	282.0	1090.5313892055872
['IN', 'LT']	4290	634.0	3184.390409599389
['IN', 'NB']	2	192.5	70.0035713374682
['IN', 'NE', 'DTP']	46	235.5	194.50328288525128
['IN', 'NE']	1955	258.0	591.9194783667302
['IN', 'OP', 'DTP', 'RV']	4	711.0	184.83686500984228
['IN', 'OP', 'DTP']	11	680.0	669.3209992223462
['IN', 'OP', 'RS']	21	518.0	2855.296817195318
['IN', 'OP', 'RV']	364	542.0	777.6035890404663
['IN', 'OP']	2644	642.5	1208.240812335434
['IN', 'RA']	12769	338.0	2185.1754933555735
['IN', 'RV']	28	225.5	290.53959105129536
['IN', 'SR']	1	139.0	
['IN']	154662	359.0	2037.6668368661803
['IP', 'DS']	93292	243.0	731.3836074783711
['IP', 'DTP', 'DS']	1	224.0	
['IP', 'DTP']	7	412.0	1857.4763217102623
['IP', 'NE']	1	275.0	
['IP', 'RV', 'DS']	31	366.0	1111.6108760645272
['IP', 'RV']	2	682.5	256.6797615707168
['IP']	25795	232.0	757.4090559849067
['LY', 'ID']	1	471.0	
['LY', 'IN']	2	1124.0	1026.719046282867
['LY', 'NA']	33	218.0	849.4406046976392
['LY', 'OP']	2	263.5	238.2949852598665
['LY']	3655	263.0	868.1714518901542
['MT', 'DS']	12	762.5	785.1455520340085
['MT', 'HI']	6	507.0	382.05078196491104
['MT', 'ID']	2	645.0	725.4915574973977
['MT', 'IN', 'FI']	1	302.0	
['MT', 'IN', 'LT']	1	1734.0	
['MT', 'IN']	223	817.0	1587.6558311222218
['MT', 'IP', 'DS']	261	376.0	891.5069263691789
['MT', 'IP', 'RV', 'DS']	7	659.0	225.48529674375456
['MT', 'IP']	42	601.5	1384.2451185392592
['MT', 'NA']	3	703.0	272.2725350330682
['MT', 'OP', 'IP', 'RV', 'DS']	13	647.0	369.1157139115189
['MT', 'OP', 'RV', 'DS']	2	925.5	284.9640328181787
['MT', 'OP', 'RV']	77	567.0	1198.5787703336243
['MT', 'OP']	16	494.0	458.10904360570464
['MT', 'RV']	4	1295.0	935.7130525255415
['MT']	17403	554.0	1381.282248270996
['NA', 'DTP']	19	772.0	1427.225548426692
['NA', 'HI', 'NB', 'RE']	125	619.0	1077.0461737488772
['NA', 'HI', 'NB']	177	621.0	842.5214447638742
['NA', 'HI', 'RE']	13	531.0	1945.7480632499742
['NA', 'HI']	39	541.0	911.3623612900899
['NA', 'IN', 'DTP']	1609	514.0	1718.3161351265821
['NA', 'IN', 'NB', 'DTP']	2	444.5	120.91525958289962
['NA', 'IN', 'NB']	61	357.0	522.7257616168573
['NA', 'IN', 'NE', 'DTP']	275	336.0	954.4861878172508
['NA', 'IN', 'NE']	6766	339.0	808.8807309367191
['NA', 'IN', 'SR']	5	325.0	525.2187163458667
['NA', 'IN']	5806	453.0	1394.6418787840344
['NA', 'IP', 'NB']	6	706.0	595.8230442002055
['NA', 'IP', 'NE']	2	555.5	449.01280605345767
['NA', 'IP']	7	301.0	172.53060460048684
['NA', 'NB', 'OB']	3	511.0	101.29659421717987
['NA', 'NB']	48931	375.0	1336.6560741868323
['NA', 'NE', 'DTP']	4	701.5	401.0589108846729
['NA', 'NE', 'OB']	14	464.5	1180.038556363941
['NA', 'NE', 'SR']	359	319.0	345.6286944030167
['NA', 'NE']	153874	349.0	951.1580027911913
['NA', 'OB']	87	372.0	3173.224944687293
['NA', 'OP', 'NB', 'OB']	49	643.0	1387.6791025545733
['NA', 'OP', 'NB', 'RV']	59	508.0	861.7002805301904
['NA', 'OP', 'NB']	1522	589.0	1984.5763986906336
['NA', 'OP', 'NE', 'OB']	417	492.0	2015.5805842571478
['NA', 'OP', 'NE']	1181	566.0	1320.4257816705133
['NA', 'OP', 'OB']	2501	629.0	1772.4871935185333
['NA', 'OP', 'RS']	7	615.0	4032.396628734402
['NA', 'OP', 'RV']	146	580.0	2259.1230767092698
['NA', 'OP', 'SR', 'OB']	3	1204.0	1318.600141564278
['NA', 'OP', 'SR']	3	867.0	460.7027241074227
['NA', 'OP']	3984	596.0	1799.0997109022169
['NA', 'SR', 'NB']	6	704.0	449.6029359334745
