preds	count	median	std
['AV']	1071	447.0	395.6925859927969
['DS']	69	224.0	1015.4522961365053
['DTP']	40	171.0	176.1769488545318
['HI', 'AV']	329	485.0	466.8502894393963
['HI', 'DS']	20	196.0	1166.0181128411705
['HI', 'DTP']	2	106.0	19.79898987322333
['HI', 'IN', 'DTP']	518	283.0	1067.9921142962107
['HI', 'IN', 'FI']	5	422.0	329.2784535920928
['HI', 'IN', 'IP', 'DS']	1	239.0	
['HI', 'IN', 'IP']	6	235.0	187.42616323946524
['HI', 'IN', 'LT']	9	262.0	323.8124886068754
['HI', 'IN']	6019	293.0	1774.9433982173512
['HI', 'IP', 'DS']	487	218.0	674.4440143153195
['HI', 'IP', 'RE', 'DS']	1	424.0	
['HI', 'IP', 'RE']	5	123.0	559.4154985339609
['HI', 'IP']	335	190.0	375.9307596410931
['HI', 'NB', 'RE']	59	313.0	287.9611931205746
['HI', 'NB']	6	479.0	332.2341042096672
['HI', 'OP', 'AV']	52	573.0	394.284928001911
['HI', 'OP', 'RV']	3	565.0	377.61223497127315
['HI', 'OP']	4	301.0	389.4487557218964
['HI', 'RE']	18006	195.0	500.5492854810509
['HI', 'RV']	1	355.0	
['HI']	22289	262.0	1001.9546174264942
['ID', 'HI', 'RE']	10	297.0	451.0154592078241
['ID', 'HI']	72	258.5	1184.566327725429
['ID', 'IN', 'EN']	3	937.0	595.3438782194147
['ID', 'IN']	46	361.0	1332.7625256430545
['ID', 'IP', 'DS']	2	546.0	444.06305858515185
['ID', 'IP']	22	156.0	563.288704397811
['ID', 'NA', 'NB']	524	258.0	486.2910108941242
['ID', 'NA', 'NE']	1	167.0	
['ID', 'NA']	1729	224.0	631.5599682776261
['ID', 'OP', 'OB']	2	1591.5	1588.8689373261723
['ID', 'OP', 'RS']	23	607.0	1552.2115690010535
['ID', 'OP', 'RV']	24	249.5	816.009306568128
['ID', 'OP']	76	514.0	2448.9390628052247
['ID', 'RV']	4	214.0	157.6607645125022
['ID']	34973	311.0	1309.4726639121154
['IN', 'AV']	2	741.5	509.8239892355008
['IN', 'DS']	27	130.0	2982.848913543165
['IN', 'DTP', 'DS']	5	279.0	128.19789389845684
['IN', 'DTP', 'RV']	2	851.5	591.8483758531403
['IN', 'DTP']	28860	177.0	1271.7756105467927
['IN', 'EN', 'DTP']	33	311.0	1135.2622502725699
['IN', 'EN']	31923	226.0	837.6478592729662
['IN', 'FI', 'LT']	1	585.0	
['IN', 'FI']	301	380.0	607.674412626365
['IN', 'IP', 'DS']	861	219.0	1756.660614390458
['IN', 'IP', 'DTP', 'DS']	35	200.0	1597.0680263133033
['IN', 'IP', 'DTP']	670	191.0	588.8894464476583
['IN', 'IP', 'FI', 'DS']	8	375.0	280.32060726450857
['IN', 'IP', 'FI']	3	375.0	1783.128711002097
['IN', 'IP', 'LT', 'DS']	245	312.0	318.494915355636
['IN', 'IP', 'LT']	15	456.0	216.55037904992608
['IN', 'IP']	1924	195.0	1574.4998475691016
['IN', 'LT', 'DS']	11	359.0	284.6293602692328
['IN', 'LT']	9321	505.0	2915.3622176465956
['IN', 'NB']	1	1295.0	
['IN', 'NE']	67	212.0	375.6346283809527
['IN', 'OP', 'DTP', 'RV']	2	478.0	130.10764773832474
['IN', 'OP', 'DTP']	2	616.5	432.04224330498056
['IN', 'OP', 'RS']	23	417.0	1154.680290436504
['IN', 'OP', 'RV']	50	399.0	523.1742009023342
['IN', 'OP']	58	513.5	575.6690145188222
['IN', 'RA']	4648	425.0	3382.2834264964736
['IN', 'RS']	7	378.0	463.087618984942
['IN', 'RV']	41	366.0	1776.9885638623455
['IN']	51408	287.0	2493.4070569004352
['IP', 'AV', 'DS']	7	305.0	1544.2562086957066
['IP', 'AV']	16	557.5	255.29870576770784
['IP', 'DS']	167137	150.0	830.1709671831346
['IP', 'DTP', 'DS']	4	341.5	180.30598991714058
['IP', 'DTP']	24	152.0	1143.5295855567
['IP', 'LT', 'DS']	2	300.5	94.04520189781083
['IP', 'NB', 'DS']	14	279.5	279.15674631108055
['IP', 'NB']	23	155.0	340.7831134824356
['IP', 'NE', 'DS']	6	91.5	42.41069047618379
['IP', 'NE']	28	106.0	50.64911976859354
['IP', 'RV', 'DS']	218	258.5	294.70573560026975
['IP', 'RV']	28	268.0	383.4524090418523
['IP']	23318	148.0	1142.08849680206
['LY', 'ID']	1	423.0	
['LY', 'NA', 'NB']	23	259.0	1611.8746518512637
['LY', 'NA']	120	269.0	1176.562861808546
['LY', 'OP', 'RS']	3	164.0	25.865034312755125
['LY', 'OP']	3	200.0	69.00966115938647
['LY']	1289	193.0	1352.3045988467622
['MT', 'DS']	90	227.5	261.2408639813703
['MT', 'EN']	1	466.0	
['MT', 'HI', 'RE']	2	1010.0	410.1219330881976
['MT', 'HI']	193	619.0	1175.4906202953803
['MT', 'ID']	10	616.0	309.76774453702495
['MT', 'IN', 'DS']	1	248.0	
['MT', 'IN', 'EN']	10	608.5	415.7510072146549
['MT', 'IN', 'FI']	55	184.0	33.841878305920424
['MT', 'IN', 'LT']	1	1941.0	
['MT', 'IN', 'RA']	1	1500.0	
['MT', 'IN']	344	1018.5	2811.002961115448
['MT', 'IP', 'DS']	2872	231.0	392.6869547753361
['MT', 'IP', 'RV', 'DS']	90	518.0	213.27530841268714
['MT', 'IP', 'RV']	1	370.0	
['MT', 'IP']	188	337.5	364.35396140746127
['MT', 'LT']	3	936.0	532.3310373567687
['MT', 'LY']	3	1236.0	656.6325710268517
['MT', 'NA', 'NE']	10	233.5	444.2347352470313
['MT', 'NA', 'SR']	7	150.0	34.4037650209835
['MT', 'NA']	56	233.0	487.78034762838445
['MT', 'OP', 'IP', 'RV', 'DS']	140	513.5	246.69295892161279
['MT', 'OP', 'IP', 'RV']	6	662.0	341.73420470691354
['MT', 'OP', 'RS']	2	839.5	444.7701653663384
['MT', 'OP', 'RV', 'DS']	31	304.0	150.98617753440746
['MT', 'OP', 'RV']	1442	225.0	301.08386488914886
['MT', 'OP']	41	666.0	1133.1857736315683
['MT', 'RV', 'DS']	1	270.0	
['MT', 'RV']	18	286.0	369.3029691277014
['MT']	39417	365.0	1149.987702828427
['NA', 'AV']	17	417.0	906.1035764064011
['NA', 'DTP']	90	349.0	330.9516403716246
['NA', 'HI', 'NB', 'RE']	4531	312.0	809.96133185757
['NA', 'HI', 'NB']	1003	299.0	647.4705829673073
['NA', 'HI', 'NE']	1	251.0	
['NA', 'HI', 'RE']	678	252.5	717.6658168285032
['NA', 'HI']	273	270.0	473.28126680564657
['NA', 'IN', 'DTP']	657	309.0	807.1614347089007
['NA', 'IN', 'EN']	12	374.5	696.7350426790443
['NA', 'IN', 'NB', 'DTP']	37	291.0	524.4495326647859
['NA', 'IN', 'NB']	67	303.0	1090.2173315175294
['NA', 'IN', 'NE', 'DTP']	1	424.0	
['NA', 'IN', 'NE']	404	246.0	983.9937385810767
['NA', 'IN', 'SR']	1	114.0	
['NA', 'IN']	2270	314.0	1385.2714903857895
['NA', 'IP', 'DS']	737	260.0	475.13997679041165
['NA', 'IP', 'NB', 'DS']	177	215.0	606.8717753851438
['NA', 'IP', 'NB', 'RV', 'DS']	1	241.0	
['NA', 'IP', 'NB', 'RV']	1	214.0	
['NA', 'IP', 'NB']	1544	202.0	633.2822948689043
['NA', 'IP', 'NE', 'DS']	295	226.0	224.54195697374772
['NA', 'IP', 'NE']	2683	188.0	482.5994364434901
['NA', 'IP', 'RV']	3	310.0	50.08326400438906
['NA', 'IP', 'SR']	6	143.0	45.93655044370079
['NA', 'IP']	4127	202.0	940.0645491677814
['NA', 'NB', 'AV']	2	646.5	405.1721856198917
['NA', 'NB', 'DTP']	1	233.0	
['NA', 'NB', 'OB']	1	2820.0	
['NA', 'NB', 'RE']	7	422.0	252.61414204653065
['NA', 'NB', 'RV']	107	373.0	384.6632493187734
['NA', 'NB']	218021	270.0	1022.4527981555506
['NA', 'NE', 'NB']	113	139.0	503.8479866146894
['NA', 'NE', 'SR']	373	153.0	376.1045260147009
['NA', 'NE']	131689	216.0	616.9983887568217
['NA', 'OB']	8	368.5	327.8392190867782
['NA', 'OP', 'AV']	37	565.0	3342.242279736234
['NA', 'OP', 'IP', 'NB', 'RV']	1	627.0	
['NA', 'OP', 'IP', 'RV']	2	394.5	113.84419177103415
['NA', 'OP', 'NB', 'AV']	12	626.5	334.71005091245496
['NA', 'OP', 'NB', 'OB']	111	524.0	2455.616623605852
['NA', 'OP', 'NB', 'RS']	9	220.0	902.2488724170164
['NA', 'OP', 'NB', 'RV']	4783	412.0	1191.252654866797
['NA', 'OP', 'NB']	1954	462.0	1543.9155135862902
['NA', 'OP', 'NE']	3	306.0	127.35907244218346
['NA', 'OP', 'OB']	421	423.0	1314.2069895057227
['NA', 'OP', 'RS']	62	384.5	1389.260314452074
['NA', 'OP', 'RV']	1690	403.0	964.1895333976425
['NA', 'OP', 'SR']	1	2175.0	
['NA', 'OP']	1929	405.0	1345.2691821315038
['NA', 'RS']	1	856.0	
['NA', 'RV']	42	331.5	478.6996814469606
['NA', 'SR', 'NB']	138	301.5	1147.557896759416
['NA', 'SR']	22556	236.0	703.8173612759691
['NA']	40642	337.0	1464.3583883857227
['NB']	67	146.0	840.334690812263
['NE']	83	104.0	211.542246951
