preds	count	median	std
['AV']	1658	530.0	1001.3147252384407
['DS']	4	232.0	300.97397451164
['DTP', 'RV']	8	536.5	654.832148613019
['DTP']	215	219.0	1970.9986303019173
['HI', 'AV']	1011	597.0	1015.8570138555062
['HI', 'DTP']	35	240.0	211.32241486697546
['HI', 'IN', 'AV']	24	562.0	414.2111740877236
['HI', 'IN', 'DTP']	1781	437.0	937.3892815395308
['HI', 'IN', 'EN']	1	202.0	
['HI', 'IN', 'FI']	18	763.0	1088.4539389079277
['HI', 'IN', 'IP', 'DS']	3	298.0	34.93326972004386
['HI', 'IN', 'IP', 'DTP']	3	308.0	79.07169742286638
['HI', 'IN', 'IP']	34	446.0	590.6068972930512
['HI', 'IN', 'LT']	19	300.0	709.8273037645076
['HI', 'IN', 'OP', 'AV']	1	722.0	
['HI', 'IN', 'OP']	4	499.5	160.340003326265
['HI', 'IN', 'RV']	1	318.0	
['HI', 'IN']	5477	470.0	1400.9528215884886
['HI', 'IP', 'AV']	4	706.0	308.71494402873776
['HI', 'IP', 'DS']	425	300.0	1135.7575846245481
['HI', 'IP', 'DTP']	5	856.0	230.79493062023698
['HI', 'IP', 'NB']	1	216.0	
['HI', 'IP', 'RE', 'DS']	1	317.0	
['HI', 'IP', 'RE']	7	451.0	481.04984396728827
['HI', 'IP']	814	351.0	733.3859195052534
['HI', 'NB', 'RE']	239	405.0	727.7857557862587
['HI', 'NB']	42	564.5	957.5414781335111
['HI', 'OP', 'AV']	618	616.0	616.2130860151649
['HI', 'OP', 'NB']	1	618.0	
['HI', 'OP', 'RE', 'RV']	1	417.0	
['HI', 'OP', 'RV']	17	324.0	1057.0035338579692
['HI', 'OP']	55	700.0	804.2356862619558
['HI', 'RE', 'RV']	1	151.0	
['HI', 'RE']	14612	249.0	476.3831267483689
['HI', 'RV']	4	270.0	340.94904311348347
['HI']	19346	402.0	816.6266789519565
['ID', 'HI', 'RE']	23	327.0	480.8732052482148
['ID', 'HI']	193	367.0	841.9365528046748
['ID', 'IN', 'DTP']	6	335.5	4480.486268252587
['ID', 'IN', 'EN']	4	266.0	209.2516427653556
['ID', 'IN', 'FI']	1	491.0	
['ID', 'IN']	137	325.0	2726.699667579663
['ID', 'IP', 'DS']	1	401.0	
['ID', 'IP']	76	266.0	532.3718175347593
['ID', 'NA', 'NB']	380	295.0	906.4596555527671
['ID', 'NA', 'NE']	6	522.5	12518.819656820684
['ID', 'NA', 'SR']	1	148.0	
['ID', 'NA']	278	422.5	1440.2829032121065
['ID', 'NB']	34	147.0	1055.7733667604919
['ID', 'OP', 'RS']	17	897.0	1160.8758420211161
['ID', 'OP', 'RV']	95	372.0	2712.983647099424
['ID', 'OP']	135	432.0	1163.9176177442812
['ID', 'RV']	3	192.0	72.06247289678588
['ID']	33486	261.0	1144.4795091148471
['IN', 'AV']	189	593.0	770.3343828190108
['IN', 'DS']	2	1375.5	1560.5846660787104
['IN', 'DTP', 'DS']	1	326.0	
['IN', 'DTP', 'FI']	6	477.5	197.7720067822205
['IN', 'DTP', 'LT']	9	307.0	820.2180265704425
['IN', 'DTP', 'RS']	1	1214.0	
['IN', 'DTP', 'RV']	23	524.0	1243.5333170735462
['IN', 'DTP']	65025	265.0	1081.631088896455
['IN', 'EN', 'DTP']	600	401.0	1552.0373875278783
['IN', 'EN']	15834	405.5	1911.0396749678127
['IN', 'FI', 'LT']	8	633.0	313.6244057103064
['IN', 'FI']	434	550.5	701.053505596738
['IN', 'IP', 'AV']	3	643.0	54.945427471264615
['IN', 'IP', 'DS']	1277	277.0	860.462433449709
['IN', 'IP', 'DTP', 'DS']	352	293.5	1022.2381350162149
['IN', 'IP', 'DTP', 'RV', 'DS']	1	731.0	
['IN', 'IP', 'DTP']	6808	274.0	703.6089788711689
['IN', 'IP', 'FI', 'DS']	7	480.0	480.9053465921879
['IN', 'IP', 'FI']	24	493.5	369.0444746576791
['IN', 'IP', 'LT', 'DS']	377	326.0	289.5989749860958
['IN', 'IP', 'LT']	152	300.5	616.738094017274
['IN', 'IP', 'NB', 'DTP']	1	376.0	
['IN', 'IP', 'NB']	8	326.0	852.1441758461837
['IN', 'IP']	6556	289.0	2249.0705591264255
['IN', 'LT']	10321	527.0	3227.6617268249024
