preds	count	median	std
['AV']	444	350.5	1012.5951383530017
['DS']	1	103.0	
['DTP']	5	155.0	182.75666882497066
['HI', 'AV']	1109	433.0	647.4840299206021
['HI', 'DS']	2	115.5	14.849242404917497
['HI', 'DTP']	8	169.5	139.76817540893512
['HI', 'IN', 'AV']	466	500.0	638.4184729840479
['HI', 'IN', 'DS']	1	521.0	
['HI', 'IN', 'DTP', 'FI']	27	448.0	1223.9420968372058
['HI', 'IN', 'DTP']	5570	352.0	917.6223276712424
['HI', 'IN', 'EN']	5	249.0	78.76103097344523
['HI', 'IN', 'FI', 'LT']	1	197.0	
['HI', 'IN', 'FI']	211	554.0	777.1390689998877
['HI', 'IN', 'IP', 'AV']	2	591.0	57.982756057296896
['HI', 'IN', 'IP', 'DS']	136	334.0	1353.071480974036
['HI', 'IN', 'IP', 'DTP', 'DS']	13	504.0	185.93540372660166
['HI', 'IN', 'IP', 'DTP', 'FI']	1	478.0	
['HI', 'IN', 'IP', 'DTP']	80	383.5	990.5753730132067
['HI', 'IN', 'IP', 'FI', 'DS']	2	330.0	89.09545442950498
['HI', 'IN', 'IP', 'FI']	3	653.0	432.6307124249657
['HI', 'IN', 'IP', 'LT', 'DS']	4	495.0	350.91345086787425
['HI', 'IN', 'IP', 'LT']	2	392.0	19.79898987322333
['HI', 'IN', 'IP', 'NB']	1	144.0	
['HI', 'IN', 'IP']	403	303.0	873.9696603634372
['HI', 'IN', 'LT']	127	350.0	1238.1437502393326
['HI', 'IN', 'NB']	7	386.0	1105.1860864643047
['HI', 'IN', 'OP', 'AV']	145	532.0	750.6828763485363
['HI', 'IN', 'OP', 'DTP', 'RV']	1	409.0	
['HI', 'IN', 'OP', 'RV']	2	453.0	132.93607486307093
['HI', 'IN', 'OP']	19	498.0	746.0053540720023
['HI', 'IN', 'RE', 'DTP']	1	478.0	
['HI', 'IN', 'RE']	1	213.0	
['HI', 'IN', 'RV']	1	932.0	
['HI', 'IN']	11955	388.0	1373.1988306778449
['HI', 'IP', 'AV', 'DS']	9	400.0	260.05725865235485
['HI', 'IP', 'AV']	31	456.0	360.3456554446709
['HI', 'IP', 'DS']	1119	252.0	647.3565925075345
['HI', 'IP', 'DTP', 'DS']	3	204.0	242.66506409727242
['HI', 'IP', 'NB', 'DS']	1	155.0	
['HI', 'IP', 'NB', 'RE']	2	268.5	21.920310216782973
['HI', 'IP', 'NB']	5	174.0	111.4822855883391
['HI', 'IP', 'RE', 'DS']	30	302.5	642.2485679147176
['HI', 'IP', 'RE']	83	235.0	526.4078036345011
['HI', 'IP']	837	263.0	1389.4678896883079
['HI', 'NB', 'AV']	1	572.0	
['HI', 'NB', 'RE']	403	313.0	625.7684050129627
['HI', 'NB']	66	331.5	1269.930515600052
['HI', 'OP', 'AV']	1815	493.0	619.2042705898072
['HI', 'OP', 'IP', 'AV', 'DS']	3	375.0	276.1817034731543
['HI', 'OP', 'IP', 'AV']	12	543.5	988.78175350307
['HI', 'OP', 'IP', 'DS']	2	256.5	127.9863273947651
['HI', 'OP', 'IP', 'RE', 'RV', 'DS']	1	356.0	
['HI', 'OP', 'IP', 'RV', 'DS']	1	983.0	
['HI', 'OP', 'IP']	5	853.0	749.8837909969784
['HI', 'OP', 'NB', 'AV']	2	653.5	225.56706319850866
['HI', 'OP', 'NB', 'RE']	1	632.0	
['HI', 'OP', 'RE', 'RV']	4	182.5	102.2839185796086
['HI', 'OP', 'RE']	1	329.0	
['HI', 'OP', 'RS']	1	285.0	
['HI', 'OP', 'RV', 'AV']	1	847.0	
['HI', 'OP', 'RV', 'DS']	1	149.0	
['HI', 'OP', 'RV']	16	478.0	222.04645722610994
['HI', 'OP']	47	526.0	1324.6290615815092
['HI', 'RE']	11571	205.0	486.1623460010475
['HI']	11594	338.0	863.3875489999928
['ID', 'HI', 'IN']	7	756.0	605.5192576859727
['ID', 'HI', 'NB', 'RE']	2	388.0	206.47518010647187
